"state_fips","county_count","feature_count","null_geom_count","min_lrid","max_lrid","pct_of_total","cumulative_pct","large_state","est_parquet_mb"
"48",254,13690003,0,13736,154553234,8.838,8.838,1,7833
"06",58,12471618,0,1152,154890986,8.052,16.89,1,7136
"12",67,10940478,0,10039367,151831963,7.063,23.954,1,6260
"39",88,6459730,0,1,154891095,4.17,28.124,1,3696
"42",67,5968015,0,431092,152185813,3.853,31.977,1,3415
"37",100,5756891,0,460462,154346932,3.717,35.694,1,3294
"36",62,5502336,0,1883182,151173000,3.552,39.246,1,3148
"17",102,5469107,0,515776,152905858,3.531,42.777,1,3129
"13",159,4754503,0,561,154889701,3.07,45.847,1,2721
"26",83,4528925,0,143302,151690618,2.924,48.771,1,2591
"51",133,4213156,0,1506802,153052521,2.72,51.491,1,2411
"18",92,3676306,0,324572,154482102,2.373,53.864,0,2104
"55",72,3536999,0,831,154890008,2.284,56.148,0,2024
"04",15,3477016,0,11214409,152802508,2.245,58.393,0,1990
"47",95,3416487,0,2538687,153045272,2.206,60.598,0,1955
"29",115,3298980,0,695,154889877,2.13,62.728,0,1888
"53",39,3291558,0,1193628,153952159,2.125,64.853,0,1883
"01",67,3205855,0,968,154890112,2.07,66.923,0,1834
"27",87,3198760,0,8,154890224,2.065,68.988,0,1830
"45",46,2999940,0,118067,145367180,1.937,70.925,0,1717
"08",64,2833906,0,8269345,152956610,1.83,72.755,0,1622
"22",64,2743577,0,2070636,154190941,1.771,74.526,0,1570
"34",21,2728572,0,5085972,152657631,1.762,76.288,0,1561
"19",99,2508034,0,1404,154890593,1.619,77.907,0,1435
"24",24,2426888,0,4605022,150974968,1.567,79.474,0,1389
"25",14,2346680,0,315,154889526,1.515,80.989,0,1343
"21",120,2300062,0,3163524,152475994,1.485,82.474,0,1316
"40",77,2270957,0,207521,149111746,1.466,83.94,0,1299
"05",75,2084640,0,1509,154890715,1.346,85.286,0,1193
"28",82,1976269,0,4575177,151941354,1.276,86.562,0,1131
"41",36,1864627,0,1278,154890487,1.204,87.765,0,1067
"20",105,1672941,0,1050918,154530332,1.08,88.846,0,957
"49",29,1564264,0,5455288,141464544,1.01,89.855,0,895
"35",33,1507500,0,11361128,152958451,0.973,90.829,0,863
"72",78,1449355,0,622966,147673351,0.936,91.764,0,829
"54",55,1399904,0,2277392,138745346,0.904,92.668,0,801
"32",17,1398360,0,9221424,122600237,0.903,93.571,0,800
"09",9,1243704,0,9968706,148812827,0.803,94.374,0,712
"31",93,1140467,0,36086300,153574722,0.736,95.11,0,653
"16",44,1140255,0,8453976,148324708,0.736,95.846,0,652
"30",56,911914,0,6157650,149673404,0.589,96.435,0,522
"46",66,788164,0,5294820,60075816,0.509,96.944,0,451
"38",53,749732,0,2404720,59980673,0.484,97.428,0,429
"23",16,667020,0,11104865,147800131,0.431,97.859,0,382
"33",10,611355,0,318027,137539462,0.395,98.253,0,350
"15",5,587432,0,2314398,138632838,0.379,98.633,0,336
"10",3,485137,0,112604179,153963710,0.313,98.946,0,278
"02",30,440614,0,3561803,146609107,0.284,99.23,0,252
"56",23,362930,0,15628105,59856437,0.234,99.465,0,208
"50",14,337544,0,12079399,58803533,0.218,99.683,0,193
"44",5,195474,0,36469459,137428267,0.126,99.809,0,112
"11",1,146395,0,129781695,143054768,0.095,99.903,0,84
"78",3,63915,0,26196046,59180186,0.041,99.945,0,37
"66",1,57778,0,9007460,9773177,0.037,99.982,0,33
"69",3,28066,0,44228379,59981268,0.018,100,0,16
